_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
1,AARON,Avenue,,HAWTHORNE
2,AARON,Place,,INDOOROOPILLY
3,ABARTH,Street,,CHERMSIDE
4,ABBEVILLE,Street,,UPPER MOUNT GRAVATT
5,ABBEY,Place,,WYNNUM WEST
6,ABBEY,Street,,WAVELL HEIGHTS
7,ABBEYFEALE,Street,,TINGALPA
8,ABBEYWOOD,Street,,TAIGUM
9,ABBOTSFORD,Place,,FOREST LAKE
10,ABBOTSFORD,Road,,ALBION
11,ABBOTSFORD,Road,,BOWEN HILLS
12,ABBOTSLEIGH,Street,,HOLLAND PARK
13,ABBOTT,Street,,ASCOT
14,ABBOTT,Street,,CAMP HILL
15,ABBOTT,Street,,HAMILTON
16,ABBOTT,Street,,NEW FARM
17,ABDALE,Street,,WAVELL HEIGHTS
18,ABEL SMITH,Crescent,,MOUNT OMMANEY
19,ABEL,Street,,MOOROOKA
20,ABELIA,Close,,CALAMVALE
21,ABELIA,Street,,INALA
22,ABERCORN,Street,,RUNCORN
23,ABERCROMBIE,Street,,ROCKLEA
24,ABERCROMBIE,Street,,TENERIFFE
25,ABERDARE,Street,,DARRA
26,ABERDEEN,Court,,THE GAP
27,ABERDEEN,Crescent,,KURABY
28,ABERDEEN,Parade,,BOONDALL
29,ABERDEEN,Place,,MANLY WEST
30,ABERDEEN,Place,,UPPER KEDRON
31,ABERDEEN,Terrace,,GORDON PARK
32,ABERFELDY,Street,,KENMORE
33,ABERFOYLE,Street,,KENMORE
34,ABERLEIGH,Road,,HERSTON
35,ABERY,Lane,,GEEBUNG
36,ABILL,Court,,ALGESTER
37,ABINGDON,Street,,WOOLLOONGABBA
38,ABINGER,Street,,MORNINGSIDE
39,ABLINGTON,Way,,CARINDALE
40,ABLOOM,Street,,ROCHEDALE
41,ABNEY,Street,,MOOROOKA
42,ABRAHAM,Street,,RED HILL
43,ABRAHAM,Street,,WILLAWONG
44,ABUKLEA,Street,,NEWMARKET
45,ABUKLEA,Street,,WILSTON
46,ABUKLEA,Street,West,NEWMARKET
47,ACACIA,Avenue,,CHELMER
48,ACACIA,Avenue,,GRACEVILLE
49,ACACIA,Avenue,,NORTHGATE
50,ACACIA,Close,,FITZGIBBON
51,ACACIA,Close,,HOLLAND PARK WEST
52,ACACIA,Court,,MOUNT CROSBY
53,ACACIA,Drive,,ASHGROVE
54,ACACIA,Place,,SUNNYBANK HILLS
55,ACACIA,Road,,KARAWATHA
56,ACACIA,Street,,EAGLE FARM
57,ACACIA,Street,,HEATHWOOD
58,ACACIA,Street,,RICHLANDS
59,ACANTHUS,Street,,DARRA
60,ACANTHUS,Street,,RICHLANDS
61,ACCESSION,Street,,BARDON
62,ACCOLADE,Place,,CARSELDINE
63,ACCRINGTON,Place,,CHAPEL HILL
64,ACER,Street,,INALA
65,ACFOLD,Street,,NORMAN PARK
66,ACHIEVEMENT,Crescent,,ACACIA RIDGE
67,ACHILLES,Street,,KEDRON
68,ACKAMA,Street,,ALGESTER
69,ACOMIS,Street,,MACKENZIE
70,ACORN,Circuit,,FOREST LAKE
71,ACORN,Court,,ALGESTER
72,ACORUS,Place,,SUNNYBANK
73,ACRON,Street,,MACGREGOR
74,ACTION,Street,,WACOL
75,ACTIVITY,Street,,ACACIA RIDGE
76,ACTON,Street,,ASHGROVE
